component,bucket,action,support,precision,recall,f1
linear,all,apply_patch,666,0.796875,0.8423423423423423,0.8189781021897811
linear,all,ask_user,393,0.5805555555555556,0.5318066157760815,0.5551128818061088
linear,all,edit_file,1580,0.9111253196930946,0.9018987341772152,0.9064885496183206
linear,all,glob_pattern,783,0.6586538461538461,0.524904214559387,0.5842217484008528
linear,all,grep_search,1473,0.6285963382737576,0.4894772572980312,0.5503816793893129
linear,all,lint_or_typecheck,320,0.5401459854014599,0.4625,0.4983164983164983
linear,all,list_directory,651,0.35237068965517243,0.5023041474654378,0.4141861937935402
linear,all,plan_task,370,0.5726256983240223,0.5540540540540541,0.5631868131868132
linear,all,read_file,1284,0.45579567779960706,0.5420560747663551,0.4951974386339381
linear,all,respond_only,734,0.9972789115646259,0.9986376021798365,0.9979577944179714
linear,all,run_bash,689,0.7644444444444445,0.7489114658925979,0.7565982404692082
linear,all,run_tests,653,0.679136690647482,0.7228177641653905,0.7002967359050445
linear,all,web_search,174,0.5139664804469274,0.5287356321839081,0.5212464589235127
linear,all,write_file,199,0.9849246231155779,0.9849246231155779,0.9849246231155779
linear,sim,apply_patch,638,0.8263473053892215,0.8652037617554859,0.8453292496171516
linear,sim,ask_user,379,0.5878962536023055,0.5382585751978892,0.5619834710743802
linear,sim,edit_file,1454,0.9216366158113731,0.9140302613480055,0.9178176795580111
linear,sim,glob_pattern,775,0.6704918032786885,0.5277419354838709,0.5906137184115523
linear,sim,grep_search,1398,0.6347905282331512,0.49856938483547925,0.5584935897435898
linear,sim,lint_or_typecheck,284,0.5265306122448979,0.45422535211267606,0.4877126654064272
linear,sim,list_directory,640,0.37809187279151946,0.5015625,0.43116185359301545
linear,sim,plan_task,344,0.5705705705705706,0.5523255813953488,0.5612998522895125
linear,sim,read_file,1104,0.43001443001443,0.5398550724637681,0.478714859437751
linear,sim,respond_only,692,0.9971181556195965,1.0,0.9985569985569985
linear,sim,run_bash,617,0.7702265372168284,0.7714748784440842,0.7708502024291498
linear,sim,run_tests,608,0.6921875,0.7286184210526315,0.7099358974358975
linear,sim,web_search,161,0.5182926829268293,0.5279503105590062,0.5230769230769231
linear,sim,write_file,193,0.9844559585492227,0.9844559585492227,0.9844559585492227
linear,au,apply_patch,28,0.25,0.32142857142857145,0.28125
linear,au,ask_user,14,0.38461538461538464,0.35714285714285715,0.37037037037037035
linear,au,edit_file,126,0.7868852459016393,0.7619047619047619,0.7741935483870968
linear,au,glob_pattern,8,0.14285714285714285,0.25,0.18181818181818182
linear,au,grep_search,75,0.4897959183673469,0.32,0.3870967741935484
linear,au,lint_or_typecheck,36,0.6551724137931034,0.5277777777777778,0.5846153846153846
linear,au,list_directory,11,0.0759493670886076,0.5454545454545454,0.13333333333333333
linear,au,plan_task,26,0.6,0.5769230769230769,0.5882352941176471
linear,au,read_file,180,0.7092198581560284,0.5555555555555556,0.6230529595015576
linear,au,respond_only,42,1.0,0.9761904761904762,0.9879518072289156
linear,au,run_bash,72,0.7017543859649122,0.5555555555555556,0.6201550387596899
linear,au,run_tests,45,0.5272727272727272,0.6444444444444445,0.58
linear,au,web_search,13,0.4666666666666667,0.5384615384615384,0.5
linear,au,write_file,6,1.0,1.0,1.0
stacker,all,apply_patch,666,0.8220108695652174,0.9084084084084084,0.8630527817403709
stacker,all,ask_user,393,0.6391437308868502,0.5318066157760815,0.5805555555555556
stacker,all,edit_file,1580,0.9449602122015915,0.9018987341772152,0.9229274611398963
stacker,all,glob_pattern,783,0.6534090909090909,0.5874840357598978,0.6186953597848016
stacker,all,grep_search,1473,0.6537800687285223,0.5166327223353699,0.5771710276829731
stacker,all,lint_or_typecheck,320,0.53125,0.6375,0.5795454545454546
stacker,all,list_directory,651,0.3901098901098901,0.6543778801843319,0.48881239242685026
stacker,all,plan_task,370,0.6216216216216216,0.6216216216216216,0.6216216216216216
stacker,all,read_file,1284,0.5282224094355518,0.4883177570093458,0.5074868474301902
stacker,all,respond_only,734,1.0,0.997275204359673,0.9986357435197817
stacker,all,run_bash,689,0.7828655834564254,0.7692307692307693,0.7759882869692533
stacker,all,run_tests,653,0.7567140600315956,0.7335375191424196,0.744945567651633
stacker,all,web_search,174,0.5238095238095238,0.7586206896551724,0.6197183098591549
stacker,all,write_file,199,0.9704433497536946,0.9899497487437185,0.9800995024875622
stacker,sim,apply_patch,638,0.863768115942029,0.9341692789968652,0.8975903614457831
stacker,sim,ask_user,379,0.6507936507936508,0.5408970976253298,0.590778097982709
stacker,sim,edit_file,1454,0.9571734475374732,0.9222833562585969,0.9394045534150613
stacker,sim,glob_pattern,775,0.6642547033285094,0.5922580645161291,0.626193724420191
stacker,sim,grep_search,1398,0.6636690647482014,0.5278969957081545,0.5880478087649402
stacker,sim,lint_or_typecheck,284,0.5521472392638037,0.6338028169014085,0.5901639344262295
stacker,sim,list_directory,640,0.4117647058823529,0.65625,0.5060240963855421
stacker,sim,plan_task,344,0.6253602305475504,0.6308139534883721,0.6280752532561505
stacker,sim,read_file,1104,0.5037950664136622,0.48097826086956524,0.49212233549582945
stacker,sim,respond_only,692,1.0,1.0,1.0
stacker,sim,run_bash,617,0.7965299684542587,0.8184764991896273,0.8073541167066347
stacker,sim,run_tests,608,0.7796901893287436,0.7450657894736842,0.7619848612279226
stacker,sim,web_search,161,0.5327510917030568,0.7577639751552795,0.6256410256410256
stacker,sim,write_file,193,0.9794871794871794,0.9896373056994818,0.9845360824742269
stacker,au,apply_patch,28,0.1956521739130435,0.32142857142857145,0.24324324324324326
stacker,au,ask_user,14,0.3333333333333333,0.2857142857142857,0.3076923076923077
stacker,au,edit_file,126,0.7850467289719626,0.6666666666666666,0.721030042918455
stacker,au,glob_pattern,8,0.07692307692307693,0.125,0.09523809523809523
stacker,au,grep_search,75,0.4423076923076923,0.30666666666666664,0.36220472440944884
stacker,au,lint_or_typecheck,36,0.41379310344827586,0.6666666666666666,0.5106382978723404
stacker,au,list_directory,11,0.08333333333333333,0.5454545454545454,0.14457831325301204
stacker,au,plan_task,26,0.5652173913043478,0.5,0.5306122448979592
stacker,au,read_file,180,0.7218045112781954,0.5333333333333333,0.6134185303514377
stacker,au,respond_only,42,1.0,0.9523809523809523,0.975609756097561
stacker,au,run_bash,72,0.5813953488372093,0.3472222222222222,0.43478260869565216
stacker,au,run_tests,45,0.5,0.5777777777777777,0.5360824742268041
stacker,au,web_search,13,0.43478260869565216,0.7692307692307693,0.5555555555555556
stacker,au,write_file,6,0.75,1.0,0.8571428571428571
encoder,all,apply_patch,666,0.7562189054726368,0.9129129129129129,0.8272108843537415
encoder,all,ask_user,393,0.6586102719033232,0.55470737913486,0.6022099447513812
encoder,all,edit_file,1580,0.9550173010380623,0.8734177215189873,0.912396694214876
encoder,all,glob_pattern,783,0.7017268445839875,0.5708812260536399,0.6295774647887324
encoder,all,grep_search,1473,0.6892502258355917,0.517990495587237,0.5914728682170542
encoder,all,lint_or_typecheck,320,0.521978021978022,0.59375,0.5555555555555556
encoder,all,list_directory,651,0.37337942955920483,0.663594470046083,0.4778761061946903
encoder,all,plan_task,370,0.6527415143603134,0.6756756756756757,0.6640106241699867
encoder,all,read_file,1284,0.5233644859813084,0.5233644859813084,0.5233644859813084
encoder,all,respond_only,734,0.998639455782313,1.0,0.9993192648059904
encoder,all,run_bash,689,0.8160741885625966,0.7663280116110305,0.7904191616766467
encoder,all,run_tests,653,0.7546296296296297,0.7488514548238897,0.7517294388931591
encoder,all,web_search,174,0.4889867841409692,0.6379310344827587,0.5536159600997507
encoder,all,write_file,199,0.99,0.9949748743718593,0.9924812030075187
encoder,sim,apply_patch,638,0.791005291005291,0.9373040752351097,0.8579626972740315
encoder,sim,ask_user,379,0.6666666666666666,0.5646437994722955,0.6114285714285714
encoder,sim,edit_file,1454,0.9656716417910448,0.889958734525447,0.9262705798138869
encoder,sim,glob_pattern,775,0.7193548387096774,0.5754838709677419,0.6394265232974911
encoder,sim,grep_search,1398,0.7004784688995215,0.5236051502145923,0.5992632009823987
encoder,sim,lint_or_typecheck,284,0.5409836065573771,0.5809859154929577,0.5602716468590832
encoder,sim,list_directory,640,0.4142300194931774,0.6640625,0.5102040816326531
encoder,sim,plan_task,344,0.6546961325966851,0.688953488372093,0.6713881019830028
encoder,sim,read_file,1104,0.506578947368421,0.5579710144927537,0.5310344827586206
encoder,sim,respond_only,692,0.9985569985569985,1.0,0.9992779783393502
encoder,sim,run_bash,617,0.8237232289950577,0.8103727714748784,0.8169934640522876
encoder,sim,run_tests,608,0.7705192629815746,0.756578947368421,0.7634854771784232
encoder,sim,web_search,161,0.4975609756097561,0.6335403726708074,0.5573770491803278
encoder,sim,write_file,193,0.9896907216494846,0.9948186528497409,0.9922480620155039
encoder,au,apply_patch,28,0.20833333333333334,0.35714285714285715,0.2631578947368421
encoder,au,ask_user,14,0.4,0.2857142857142857,0.3333333333333333
encoder,au,edit_file,126,0.819047619047619,0.6825396825396826,0.7445887445887446
encoder,au,glob_pattern,8,0.058823529411764705,0.125,0.08
encoder,au,grep_search,75,0.5,0.41333333333333333,0.45255474452554745
encoder,au,lint_or_typecheck,36,0.423728813559322,0.6944444444444444,0.5263157894736842
encoder,au,list_directory,11,0.05343511450381679,0.6363636363636364,0.09859154929577464
encoder,au,plan_task,26,0.6190476190476191,0.5,0.5531914893617021
encoder,au,read_file,180,0.8235294117647058,0.3111111111111111,0.45161290322580644
encoder,au,respond_only,42,1.0,1.0,1.0
encoder,au,run_bash,72,0.7,0.3888888888888889,0.5
encoder,au,run_tests,45,0.5686274509803921,0.6444444444444445,0.6041666666666666
encoder,au,web_search,13,0.4090909090909091,0.6923076923076923,0.5142857142857142
encoder,au,write_file,6,1.0,1.0,1.0
blend,all,apply_patch,666,0.8092105263157895,0.9234234234234234,0.8625525946704067
blend,all,ask_user,393,0.6715976331360947,0.5776081424936387,0.6210670314637483
blend,all,edit_file,1580,0.960455764075067,0.9069620253164556,0.9329427083333334
blend,all,glob_pattern,783,0.701062215477997,0.5900383141762452,0.6407766990291263
blend,all,grep_search,1473,0.6899016979445934,0.5241004752206382,0.595679012345679
blend,all,lint_or_typecheck,320,0.5350140056022409,0.596875,0.5642540620384048
blend,all,list_directory,651,0.37909654561558903,0.6574500768049155,0.48089887640449436
blend,all,plan_task,370,0.6631578947368421,0.6810810810810811,0.672
blend,all,read_file,1284,0.5324980422866092,0.5295950155763239,0.5310425614994143
blend,all,respond_only,734,0.998639455782313,1.0,0.9993192648059904
blend,all,run_bash,689,0.8211508553654744,0.7663280116110305,0.7927927927927928
blend,all,run_tests,653,0.7530487804878049,0.7565084226646248,0.7547746371275783
blend,all,web_search,174,0.536036036036036,0.6839080459770115,0.601010101010101
blend,all,write_file,199,0.9851485148514851,1.0,0.9925187032418953
blend,sim,apply_patch,638,0.852112676056338,0.9482758620689655,0.8976261127596439
blend,sim,ask_user,379,0.676829268292683,0.5857519788918206,0.628005657708628
blend,sim,edit_file,1454,0.9711815561959655,0.9270976616231087,0.9486277269528501
blend,sim,glob_pattern,775,0.7169517884914464,0.5948387096774194,0.6502115655853314
blend,sim,grep_search,1398,0.7013232514177694,0.530758226037196,0.6042345276872965
blend,sim,lint_or_typecheck,284,0.5570469798657718,0.5845070422535211,0.570446735395189
blend,sim,list_directory,640,0.41807348560079444,0.6578125,0.5112325440194293
blend,sim,plan_task,344,0.6657381615598886,0.6947674418604651,0.6799431009957326
blend,sim,read_file,1104,0.5141666666666667,0.5588768115942029,0.5355902777777778
blend,sim,respond_only,692,0.9985569985569985,1.0,0.9992779783393502
blend,sim,run_bash,617,0.8314049586776859,0.8152350081037277,0.823240589198036
blend,sim,run_tests,608,0.7728026533996684,0.7664473684210527,0.7696118909991743
blend,sim,web_search,161,0.5477386934673367,0.6770186335403726,0.6055555555555555
blend,sim,write_file,193,0.9846938775510204,1.0,0.9922879177377892
blend,au,apply_patch,28,0.2,0.35714285714285715,0.2564102564102564
blend,au,ask_user,14,0.5,0.35714285714285715,0.4166666666666667
blend,au,edit_file,126,0.8173076923076923,0.6746031746031746,0.7391304347826086
blend,au,glob_pattern,8,0.0625,0.125,0.08333333333333333
blend,au,grep_search,75,0.4918032786885246,0.4,0.4411764705882353
blend,au,lint_or_typecheck,36,0.423728813559322,0.6944444444444444,0.5263157894736842
blend,au,list_directory,11,0.05737704918032787,0.6363636363636364,0.10526315789473684
blend,au,plan_task,26,0.6190476190476191,0.5,0.5531914893617021
blend,au,read_file,180,0.8181818181818182,0.35,0.490272373540856
blend,au,respond_only,42,1.0,1.0,1.0
blend,au,run_bash,72,0.6578947368421053,0.3472222222222222,0.45454545454545453
blend,au,run_tests,45,0.5283018867924528,0.6222222222222222,0.5714285714285714
blend,au,web_search,13,0.43478260869565216,0.7692307692307693,0.5555555555555556
blend,au,write_file,6,1.0,1.0,1.0
