variant,action,support,pred_count,precision,recall,f1,scarce_support_le_14
blend_hist0,apply_patch,0,0,0.0,0.0,0.0,True
blend_hist0,ask_user,100,28,0.7142857142857143,0.2,0.3125,False
blend_hist0,edit_file,34,34,0.9705882352941176,0.9705882352941176,0.9705882352941176,False
blend_hist0,glob_pattern,92,0,0.0,0.0,0.0,False
blend_hist0,grep_search,148,0,0.0,0.0,0.0,False
blend_hist0,lint_or_typecheck,14,1,1.0,0.07142857142857142,0.13333333333333333,True
blend_hist0,list_directory,266,710,0.37464788732394366,1.0,0.5450819672131147,False
blend_hist0,plan_task,157,235,0.625531914893617,0.9363057324840764,0.75,False
blend_hist0,read_file,209,3,0.6666666666666666,0.009569377990430622,0.018867924528301886,False
blend_hist0,respond_only,12,12,1.0,1.0,1.0,True
blend_hist0,run_bash,142,170,0.8294117647058824,0.9929577464788732,0.9038461538461539,False
blend_hist0,run_tests,15,1,0.0,0.0,0.0,False
blend_hist0,web_search,7,1,0.0,0.0,0.0,True
blend_hist0,write_file,97,98,0.9897959183673469,1.0,0.9948717948717949,False
specialist_hist0,apply_patch,0,0,0.0,0.0,0.0,True
specialist_hist0,ask_user,100,73,0.4794520547945205,0.35,0.4046242774566474,False
specialist_hist0,edit_file,34,24,0.9166666666666666,0.6470588235294118,0.7586206896551724,False
specialist_hist0,glob_pattern,92,51,0.1568627450980392,0.08695652173913043,0.11188811188811189,False
specialist_hist0,grep_search,148,143,0.23076923076923078,0.22297297297297297,0.2268041237113402,False
specialist_hist0,lint_or_typecheck,14,5,0.2,0.07142857142857142,0.10526315789473684,True
specialist_hist0,list_directory,266,296,0.4155405405405405,0.462406015037594,0.4377224199288256,False
specialist_hist0,plan_task,157,177,0.6045197740112994,0.6815286624203821,0.6407185628742516,False
specialist_hist0,read_file,209,197,0.41116751269035534,0.3875598086124402,0.39901477832512317,False
specialist_hist0,respond_only,12,11,1.0,0.9166666666666666,0.9565217391304348,True
specialist_hist0,run_bash,142,192,0.6614583333333334,0.8943661971830986,0.7604790419161677,False
specialist_hist0,run_tests,15,10,0.2,0.13333333333333333,0.16,False
specialist_hist0,web_search,7,8,0.0,0.0,0.0,True
specialist_hist0,write_file,97,106,0.9150943396226415,1.0,0.9556650246305419,False
soft_alpha_0.5_hist0,apply_patch,0,0,0.0,0.0,0.0,True
soft_alpha_0.5_hist0,ask_user,100,31,0.6774193548387096,0.21,0.32061068702290074,False
soft_alpha_0.5_hist0,edit_file,34,34,0.9705882352941176,0.9705882352941176,0.9705882352941176,False
soft_alpha_0.5_hist0,glob_pattern,92,0,0.0,0.0,0.0,False
soft_alpha_0.5_hist0,grep_search,148,0,0.0,0.0,0.0,False
soft_alpha_0.5_hist0,lint_or_typecheck,14,1,1.0,0.07142857142857142,0.13333333333333333,True
soft_alpha_0.5_hist0,list_directory,266,696,0.382183908045977,1.0,0.553014553014553,False
soft_alpha_0.5_hist0,plan_task,157,231,0.6233766233766234,0.9171974522292994,0.7422680412371134,False
soft_alpha_0.5_hist0,read_file,209,16,0.9375,0.07177033492822966,0.13333333333333333,False
soft_alpha_0.5_hist0,respond_only,12,12,1.0,1.0,1.0,True
soft_alpha_0.5_hist0,run_bash,142,172,0.8197674418604651,0.9929577464788732,0.8980891719745223,False
soft_alpha_0.5_hist0,run_tests,15,0,0.0,0.0,0.0,False
soft_alpha_0.5_hist0,web_search,7,2,0.0,0.0,0.0,True
soft_alpha_0.5_hist0,write_file,97,98,0.9897959183673469,1.0,0.9948717948717949,False
soft_alpha_0.7_hist0,apply_patch,0,0,0.0,0.0,0.0,True
soft_alpha_0.7_hist0,ask_user,100,34,0.6470588235294118,0.22,0.3283582089552239,False
soft_alpha_0.7_hist0,edit_file,34,34,0.9705882352941176,0.9705882352941176,0.9705882352941176,False
soft_alpha_0.7_hist0,glob_pattern,92,2,1.0,0.021739130434782608,0.0425531914893617,False
soft_alpha_0.7_hist0,grep_search,148,1,0.0,0.0,0.0,False
soft_alpha_0.7_hist0,lint_or_typecheck,14,1,1.0,0.07142857142857142,0.13333333333333333,True
soft_alpha_0.7_hist0,list_directory,266,664,0.39759036144578314,0.9924812030075187,0.567741935483871,False
soft_alpha_0.7_hist0,plan_task,157,229,0.6200873362445415,0.9044585987261147,0.7357512953367875,False
soft_alpha_0.7_hist0,read_file,209,43,0.7674418604651163,0.15789473684210525,0.2619047619047619,False
soft_alpha_0.7_hist0,respond_only,12,12,1.0,1.0,1.0,True
soft_alpha_0.7_hist0,run_bash,142,172,0.813953488372093,0.9859154929577465,0.89171974522293,False
soft_alpha_0.7_hist0,run_tests,15,1,0.0,0.0,0.0,False
soft_alpha_0.7_hist0,web_search,7,2,0.0,0.0,0.0,True
soft_alpha_0.7_hist0,write_file,97,98,0.9897959183673469,1.0,0.9948717948717949,False
soft_alpha_1_hist0,apply_patch,0,0,0.0,0.0,0.0,True
soft_alpha_1_hist0,ask_user,100,73,0.4794520547945205,0.35,0.4046242774566474,False
soft_alpha_1_hist0,edit_file,34,24,0.9166666666666666,0.6470588235294118,0.7586206896551724,False
soft_alpha_1_hist0,glob_pattern,92,51,0.1568627450980392,0.08695652173913043,0.11188811188811189,False
soft_alpha_1_hist0,grep_search,148,143,0.23076923076923078,0.22297297297297297,0.2268041237113402,False
soft_alpha_1_hist0,lint_or_typecheck,14,5,0.2,0.07142857142857142,0.10526315789473684,True
soft_alpha_1_hist0,list_directory,266,296,0.4155405405405405,0.462406015037594,0.4377224199288256,False
soft_alpha_1_hist0,plan_task,157,177,0.6045197740112994,0.6815286624203821,0.6407185628742516,False
soft_alpha_1_hist0,read_file,209,197,0.41116751269035534,0.3875598086124402,0.39901477832512317,False
soft_alpha_1_hist0,respond_only,12,11,1.0,0.9166666666666666,0.9565217391304348,True
soft_alpha_1_hist0,run_bash,142,192,0.6614583333333334,0.8943661971830986,0.7604790419161677,False
soft_alpha_1_hist0,run_tests,15,10,0.2,0.13333333333333333,0.16,False
soft_alpha_1_hist0,web_search,7,8,0.0,0.0,0.0,True
soft_alpha_1_hist0,write_file,97,106,0.9150943396226415,1.0,0.9556650246305419,False
