holdout_index,id,target,transition,old_pred,new_pred,is_au,turn_index,history_len,current_prompt,workspace_loc,workspace_git_dirty,workspace_open_files_count,workspace_open_files,workspace_language_mix,old_target_prob,new_target_prob,old_margin,new_margin,lin_pred,lin_target_prob,lin_target_minus_competitor,stk_pred,stk_target_prob,stk_target_minus_competitor,qwen_pred,qwen_target_prob,qwen_target_minus_competitor
964,sess_sim_20260522_007767-step_01,list_directory,old_correct_new_wrong,list_directory,read_file,False,1,0,이번엔 requirements 페이지에 어떤 모델 등록돼있나 궁금. requirements.txt 열어줘,44003,True,0,[],"{""html"":0.12,""js"":0.05,""py"":0.78,""yaml"":0.05}",0.3520403876900673,0.34017530679702757,0.020518269389867783,-0.014450719952583346,read_file,0.23021486401557922,-0.038679689168930054,list_directory,0.5925167202949524,0.4294061213731766,read_file,0.2927149832248688,-0.1543266773223877
1119,sess_sim_20260522_011483-step_01,list_directory,old_correct_new_wrong,list_directory,read_file,False,1,0,"side note, tests/test_dags.py has gotten huge - navigation setup, providers, deep link handling all in one file. read it for me, i want to figure out what to extract",7562,True,0,[],"{""py"":0.45,""sh"":0.05,""sql"":0.3,""yaml"":0.2}",0.2919172830879688,0.2883491724729538,0.00874987244606018,-0.015275537967681885,list_directory,0.17003010213375092,0.027907639741897583,list_directory,0.44948557019233704,0.22984620928764343,read_file,0.2740767300128937,-0.11137717962265015
2150,sess_sim_20260522_030963-step_01,list_directory,old_correct_new_wrong,list_directory,read_file,False,1,0,tbh ok so it's read in UserRepository.java and the repository both. show me how UserRepository.java pulls it,66539,True,0,[],"{""java"":0.55,""kt"":0.25,""sql"":0.08,""yaml"":0.12}",0.3052590899169445,0.31178856194019317,0.0002485327422618866,-0.0049213558435440286,read_file,0.1493598073720932,-0.07383550703525543,list_directory,0.3958636522293091,0.12603145837783813,read_file,0.33790645003318787,-0.025600910186767578
2196,sess_sim_20260522_021454-step_01,list_directory,old_correct_new_wrong,list_directory,read_file,False,1,0,"음 go config로 학습 돌리는 새 기능을 추가하는 중인데, go.mod이랑 base.yaml이 뭐가 다른지부터 좀 짚어줘. go 파일 열어봐",14404,False,0,[],"{""go"":0.92,""md"":0.03,""yaml"":0.05}",0.30483436211943626,0.29872184097766874,0.0009540170431137085,-0.027426910400390636,list_directory,0.18705211579799652,0.0022041648626327515,list_directory,0.483741819858551,0.283513143658638,read_file,0.27427175641059875,-0.14095062017440796
2389,sess_sim_20260522_035898-step_06,list_directory,old_correct_new_wrong,list_directory,read_file,False,6,10,root.go 그 부분 직접 눈으로 보자,1953,True,0,[],"{""go"":0.92,""md"":0.03,""yaml"":0.05}",0.32013269141316414,0.3140410989522934,0.015468616038560867,-0.004223081469535872,list_directory,0.21308280527591705,0.017502084374427795,list_directory,0.48809850215911865,0.2103521227836609,read_file,0.2896747291088104,-0.08298987150192261
2838,sess_sim_20260522_019267-step_01,list_directory,old_correct_new_wrong,list_directory,read_file,False,1,0,Dockerfile랑 app.py 두 군데에 캐시 레이어 같이 끼워야 하는데 일단 Dockerfile부터 어떻게 진입하는지 보여줘 한 번,21837,True,0,[],"{""ipynb"":0.08,""py"":0.85,""sh"":0.02,""yaml"":0.05}",0.34178561344742775,0.33338943421840667,0.03150635212659836,-0.003741997480392445,read_file,0.18596787750720978,-0.020887106657028198,list_directory,0.5815651416778564,0.43638330698013306,read_file,0.2998047173023224,-0.1447353959083557
3708,sess_sim_20260522_023101-step_01,list_directory,old_correct_new_wrong,list_directory,grep_search,False,1,0,README에서 이 버튼 어떻게 쓰는지도 봐야겠다. onPress 넘기는 데 다 찾아봐 한번만 더,6049,False,0,[],"{""md"":0.05,""sh"":0.1,""tf"":0.4,""yaml"":0.45}",0.28585968539118767,0.28025570809841155,0.013826355338096619,-0.012969422340393055,grep_search,0.14894945919513702,-0.05616699159145355,list_directory,0.4788096845149994,0.35177747905254364,grep_search,0.25783979892730713,-0.1201525330543518
4744,sess_sim_20260522_044128-step_03,list_directory,old_correct_new_wrong,list_directory,grep_search,False,3,4,엥 2개 떴네 뭐야...,17552,True,0,[],"{""css"":0.1,""json"":0.1,""ts"":0.35,""vue"":0.45}",0.21706407889723778,0.2202284663915634,0.00305155199021101,-0.012616042047739029,list_directory,0.1541501134634018,0.09445613250136375,list_directory,0.24833416938781738,0.06832291185855865,grep_search,0.23288601636886597,-0.07528641819953918
7168,sess_sim_20260522_038684-step_03,list_directory,old_correct_new_wrong,list_directory,grep_search,False,3,4,"preprocess에 결측치 채우는 단계 하나 새로 넣을건데, 비슷한 transform 함수들 패턴이 어디 흩어져있나 좀 훑어줘 먼저",11006,True,0,[],"{""md"":0.04,""rs"":0.9,""toml"":0.06}",0.24671689793467522,0.25562440454959867,0.0028370562940835953,-0.011009322106838249,read_file,0.10695852339267731,-0.01281643658876419,read_file,0.29740020632743835,0.1569543331861496,grep_search,0.2912544310092926,-0.06639483571052551
7481,sess_sim_20260522_040016-step_02,list_directory,old_correct_new_wrong,list_directory,read_file,False,2,2,"read the tests then, i want full context around it, really need it",12364,False,0,[],"{""dockerfile"":0.05,""md"":0.03,""py"":0.82,""yaml"":0.1}",0.30670641362667084,0.3035421907901764,0.013093985617160797,-0.014290422201156616,list_directory,0.14512592554092407,0.002798333764076233,list_directory,0.49992913007736206,0.2972337156534195,read_file,0.2908852994441986,-0.12382805347442627
8391,sess_sim_20260522_006295-step_04,list_directory,old_correct_new_wrong,list_directory,read_file,False,4,6,parsePlan 정의가 어디 있긴 한거야?,89928,False,0,[],"{""java"":0.55,""kt"":0.25,""sql"":0.08,""yaml"":0.12}",0.25970620289444923,0.2596184521913528,0.01073206402361393,-0.011187432706356082,list_directory,0.14958615601062775,0.029064036905765533,list_directory,0.3707037568092346,0.2115950584411621,read_file,0.2592674493789673,-0.09886541962623596
9011,sess_sim_20260522_024356-step_01,list_directory,old_correct_new_wrong,list_directory,grep_search,False,1,0,trying to add a --verbose flag to the cli but it crashes the second i pass it. wheres the arg parsing live when free,45261,True,0,[],"{""css"":0.1,""json"":0.1,""ts"":0.35,""vue"":0.45}",0.2666468471288681,0.26147541105747224,0.004385322332382202,-0.033912894129753124,list_directory,0.14656013250350952,0.0673898383975029,list_directory,0.4384479224681854,0.32436297088861465,grep_search,0.24078966677188873,-0.18710575997829437
9049,sess_sim_20260522_031304-step_01,list_directory,old_correct_new_wrong,list_directory,read_file,False,1,0,backend airflow name이 web-svc로 돼있는데 실제 서비스 이름이랑 맞나? airflow.cfg 확인,11356,False,0,[],"{""py"":0.45,""sh"":0.05,""sql"":0.3,""yaml"":0.2}",0.29416603595018387,0.2958189308643341,0.005576999858021736,-0.02259607166051869,list_directory,0.1414419710636139,0.03006923943758011,list_directory,0.43036115169525146,0.2628154754638672,read_file,0.30243051052093506,-0.13528835773468018
9481,sess_sim_20260522_004772-step_05,list_directory,old_wrong_new_correct,read_file,list_directory,False,5,8,아예 없네 ㅎㅎ 그럼 UserControllerTest.java부터 보고 어디다 둘지 정하자,73817,True,0,[],"{""java"":0.55,""kt"":0.25,""sql"":0.08,""yaml"":0.12}",0.28511398658156395,0.3003975242376328,-0.005873680114746094,0.01120497584342961,read_file,0.1777995377779007,-0.01307523250579834,read_file,0.23959305882453918,-0.16945868730545044,list_directory,0.36153167486190796,0.0795195996761322
2506,sess_sim_20260522_033407-step_11,glob_pattern,old_correct_new_wrong,glob_pattern,grep_search,False,11,12,"혹시 어 두 개 깨졌네요... 아마 테스트가 정렬 안 된 옛날 순서를 기대하고 있는 거 같은데, 그 테스트 파일 좀 열어주세요 한 번만",1665,True,2,"[""tests/store.py"",""app.py""]","{""html"":0.1,""md"":0.1,""py"":0.6,""ts"":0.2}",0.300421766936779,0.27483283281326293,0.012797866016626358,-0.04589800536632538,glob_pattern,0.1893070638179779,0.07420125603675842,glob_pattern,0.667425811290741,0.5383531898260117,grep_search,0.1724770963191986,-0.2806814908981323
4389,sess_sim_20260522_042919-step_05,glob_pattern,old_correct_new_wrong,glob_pattern,grep_search,False,5,8,Dockerfile랑 NavLinks가 한 파일에 다 끼어있네. 이런 식으로 컴포넌트 안에 훅 인라인으로 정의해둔 데가 또 있는지 Dockerfile 전반 좀 찾아봐 한 번,24614,True,0,[],"{""ipynb"":0.08,""py"":0.85,""sh"":0.02,""yaml"":0.05}",0.2846268992871046,0.2860530182719231,0.0019925925880670547,-0.012756709754466966,grep_search,0.11866327375173569,-0.08321826905012131,glob_pattern,0.43632933497428894,0.23469647765159607,grep_search,0.2917574942111969,-0.07175391912460327
7549,sess_sim_20260522_015278-step_08,glob_pattern,old_correct_new_wrong,glob_pattern,grep_search,False,8,12,"랜딩 페이지에 최근 가입한 유저 섹션 하나 추가하려는데, components 페이지 지금 어떤 컴포넌트들 쓰고 있어?",25646,True,1,"[""components/AppHeader.vue""]","{""css"":0.1,""json"":0.1,""ts"":0.35,""vue"":0.45}",0.3311337046325207,0.3405825525522232,0.00019821524620056152,-0.02464895844459536,read_file,0.10204263031482697,0.01954062283039093,glob_pattern,0.4657362997531891,0.22932754456996918,grep_search,0.3783779442310333,-0.12403765320777893
8561,sess_sim_20260522_005243-step_06,glob_pattern,old_correct_new_wrong,glob_pattern,read_file,False,6,10,가능하면 components 화면 통째로 한번 보자,13317,True,0,[],"{""css"":0.1,""json"":0.1,""ts"":0.35,""vue"":0.45}",0.3180015869438648,0.31366496384143827,0.0015383735299110413,-0.021821832656860385,glob_pattern,0.1607099324464798,0.003061354160308838,glob_pattern,0.5186594724655151,0.23361745476722717,read_file,0.2963184714317322,-0.11526265740394592
